List,Trial,Item,Register,Wort,Satz,Bild1,Bild2,Bild3,Bild4
1,1,41,1,<b>Trompete </b> ?,Welches Bild passt am besten f&uuml;r das Wort,Troete-1.jpg,Trompete-2.jpg,Troete-2.jpg,Trompete-1.jpg
1,2,21,2,<b>Wanst </b> ?,Welches Bild passt am besten f&uuml;r das Wort,Wanst-1.jpg,Bauch-1.jpg,Wanst-2.jpg,Bauch-2.jpg
1,3,8,1,<b>Gem&uuml;se </b> ?,Welches Bild passt am besten f&uuml;r das Wort,Gruenzeug-1.jpg,Gemuese-2.jpg,Gruenzeug-2.jpg,Gemuese-1.jpg
1,4,30,1,<b>Sch&auml;nke</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Kneipe-1.jpg,Schaenke-1.jpg,Schaenke-2.jpg,Kneipe-2.jpg
1,5,23,2,<b>M&auml;hne</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Maehne-1.jpg,Maehne-2.jpg,Haare-1.jpg,Haare-2.jpg
1,6,39,1,<b>Pension</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Absteige-2.jpg,Pension-2.jpg,Absteige-1.jpg,Pension-1.jpg
1,7,12,2,<b>G&auml;ule</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Pferde-1.jpg,Gaule-2.jpg,Gaule-1.jpg,Pferde-2.jpg
1,8,4,2,<b>Lauscher</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Lauscher-2.jpg,Ohren-1.jpg,Lauscher-1.jpg,Ohren-2.jpg
1,9,13,1,<b>Butterbrote</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Schnitten-1.jpg,Schnitten-2.jpg,Butterbrote-1.jpg,Butterbrote-2.jpg
1,10,6,2,<b>P&ouml;tte</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Tassen-1.jpg,Poette-1.jpg,Tassen-2.jpg,Poette-2.jpg
1,11,22,2,<b>K&ouml;ter</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Koeter-2.jpg,Hund-1.jpg,Koeter-1.jpg,Hund-2.jpg
1,12,26,1,<b>Residenz</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Bude-2.jpg,Bude-1.jpg,Residenz-1.jpg,Residenz-2.jpg
1,13,14,1,<b>Fingern&auml;gel</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Fingernaegel-1.jpg,Klauen-1.jpg,Fingernaegel-2.jpg,Klauen-2.jpg
1,14,7,2,<b>Stahlross</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Fahrrad-1.jpg,Stahlross-1.jpg,Stahlross-2.jpg,Fahrrad-2.jpg
1,15,20,1,<b>Champagner</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Champagner-1.jpg,Schampus-1.jpg,Schampus-2.jpg,Champagner-2.jpg
1,16,32,2,<b>Pillen</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Arznei-1.jpg,Pillen-1.jpg,Pillen-2.jpg,Arznei-2.jpg
1,17,11,1,<b>Hosen</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Hosen-1.jpg,Hosen-2.jpg,Buxen-1.jpg,Buxen-2.jpg
1,18,15,1,<b>Geld</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Moos-1.jpg,Moos-2.jpg,Geld-1.jpg,Geld-2.jpg
1,19,18,2,<b>Vieh</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Vieh-2.jpg,Vieh-1.jpg,Tier-2.jpg,Tier-1.jpg
1,20,16,1,<b>Essen</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Futter-2.jpg,Futter-1.jpg,Essen-2.jpg,Essen-1.jpg
1,21,9,2,<b>Karren</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Autos-1.jpg,Karren-1.jpg,Karren-2.jpg,Autos-2.jpg
1,22,36,1,<b>Lampe</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Lampe-1.jpg,Funzel-1.jpg,Funzel-2.jpg,Lampe-2.jpg
1,23,2,1,<b>Kleidung</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Kleidung-1.jpg,Kleidung-2.jpg,Klamotten-1.jpg,Klamotten-2.jpg
1,24,17,2,<b>Klo</b> ?,Welches Bild passt am besten f&uuml;r das Wort,WC-1.jpg,WC-2.jpg,Klo-1.jpg,Klo-2.jpg
1,25,24,2,<b>Pulle</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Flasche-2.jpg,Pulle-2.jpg,Flasche-1.jpg,Pulle-1.jpg
1,26,28,1,<b>Violin</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Violin-2.jpg,Fiedel-2.jpg,Violin-1.jpg,Fiedel-1.jpg
1,27,29,1,<b>Zigarre</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Zigarre-1.jpg,Zigarre-2.jpg,Kippe-1.jpg,Kippe-2.jpg
1,28,5,1,<b>Gem&auml;cher</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Kammern-1.jpg,Kammern-2.jpg,Gemaecher-1.jpg,Gemaecher-2.jpg
1,29,27,2,<b>Fummel</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Kleider-1.jpg,Fummel-1.jpg,Kleider-2.jpg,Fummel-2.jpg
1,30,10,2,<b>Stelzen</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Stelzen-1.jpg,Beine-1.jpg,Stelzen-2.jpg,Beine-2.jpg
1,31,35,2,<b>Glubscher</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Augen-1.jpg,Augen-2.jpg,Glubscher-1.jpg,Glubscher-2.jpg
1,32,3,1,<b>Domizil</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Domizil-2.jpg,Behausung-2.jpg,Domizil-1.jpg,Behausung-1.jpg
1,33,40,2,<b>Schlappen</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Hausschuhe-2.jpg,Schlappen-2.jpg,Hausschuhe-1.jpg,Schlappen-1.jpg
1,34,33,2,<b>W&auml;lzer</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Waelzer-1.jpg,Buecher-2.jpg,Buecher-1.jpg,Waelzer-2.jpg
1,35,38,2,<b>Pl&uuml;rre</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Getraenke-1.jpg,Pluerre-2.jpg,Pluerre-1.jpg,Getraenke-2.jpg
1,36,1,1,<b>Schuhe</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Schuhe-1.jpg,Schuhe-2.jpg,Latschen-1.jpg,Latschen-2.jpg
1,37,19,1,<b>Antrag</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Wisch-1.jpg,Wisch-2.jpg,Antrag-1.jpg,Antrag-2.jpg
1,38,25,1,<b>F&uuml;&szlig;e</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Mauken-2.jpg,Fuesse-1.jpg,Mauken-1.jpg,Fuesse-2.jpg
1,39,37,2,<b>Griffel</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Griffel-2.jpg,Finger-1.jpg,Griffel-1.jpg,Finger-2.jpg
1,40,31,1,<b>Pistole</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Knarre-1.jpg,Pistole-1.jpg,Pistole-2.jpg,Knarre-2.jpg
1,41,34,2,<b>Brause</b> ?,Welches Bild passt am besten f&uuml;r das Wort,Brause-1.jpg,Schorle-1.jpg,Schorle-2.jpg,Brause-2.jpg
